Name,Candidate,Query,Label
❤ Instagram worthy view! Luxury High-rise Downtown,"We have had an incredible trip! Rod’s apartment was perfect. His description and photos of the apartment painted an incredible picture and it still exceeded our expectations. The location couldn’t have been better as we were just a few steps from public transportation and a market for groceries was right at the corner. 

Even when we came inside to escape the rain, we had a spectacular view of the city.  The whole building was super clean, comfortable, stylish, and safe. Rod was always super quick to respond to any questions we had and gave us great recommendations for local restaurants. We would love to stay here again next time we’re in Chicago.",Chicago,0
❤ Instagram worthy view! Luxury High-rise Downtown,"Just like everyone else said, the view is spectacular. This apt is sparkling clean and breathtakingly beautiful. I was in Chicago for a work meeting and loved coming back in the evenings to this comfortable, homely, beautiful apt. I had no trouble getting in each time.. the women at the front desk were all friendly (I made a point of saying hello to each of them so they were greeting me like old friends after 2 days). It's close to everything - small market just 200 feet away allowed me to stock the fridge. I highly recommend Rod and his lovely apt.",Chicago,0
2 Bedroom Upstairs Apartment Parking $10/ Day,"Grace’s place is sparkling clean. Even on barefoot you wouldn’t feel dust on your feet. The place is so stylish and I love the simple touches on every part of her house. It is a great value for money being a 2bedroom and can also accommodate more people with the 2sofabeds in the living room. The kitchen is complete with stove, oven, microwave, fridge, cooking ware and utensils. The place is very close to grocery store, some resto and the Belmont Blue station. This is such a great place and I will definitely stay again when i go back to Chicago.",Chicago,0
2BR Bursting w/ Character in Hip Logan Square!,I love love love Danielle's place.  It's extremely charming and well decorated. You can definitely tell she put a lot of effort into all the details of the apartment. It was perfect for a winter visit to Chicago with the amazing fireplace and heated floors. The walkways and stairs were kept clear of snow and salted. We even heard a snow blower once or twice ;). There was always parking available on the street right outside the house. Which was a major plus for us. The neighborhood was great. Plenty of places to eat and bars to check out. I would highly recommend staying here and will likely book it again.,Chicago,0
2BR Bursting w/ Character in Hip Logan Square!,"Danielle’s space was perfect for our trip to Chicago. There were four of us, so we did two in each bed — totally comfortable. As it was February in Chicago, we loved the fireplace to keep the space nice and warm. The flat was very clean, and stocked with towels and products for the shower. Danielle gave us a mega list of recommendations ahead of time, which was super helpful and full of cool restaurants and bars. The apartment is in Logan Square, and while we spent a good deal of time there and in places like Wicker Park, the freezing weather had us in lots of Uber’s downtown as well — just something to keep in mind. Though, it’s also off a subway line. Overall, no complaints, and Danielle’s communication was amazing. Would definitely recommend.",Chicago,0
Augusta's Secret Garden | Noble Square|Wicker Park,"Heather and JP are wonderful hosts!! Their space is incredibly stylish and really unique. We loved the garden area and enjoyed sitting outside to eat breakfast and relax. It is in an amazing location, within walking distance of so many great restaurants! We really appreciated their flexibility with check-in and all the special touches that were included. This is one of the best Airbnb's that we've ever stayed in! We'll definitely stay here again whenever we're in Chicago. If this place is open, then book it. You'll love it! ",Chicago,0
Augusta's Secret Garden | Noble Square|Wicker Park,"One of our favorite AirBnB locations ever!   Hip, comfortable and in a great location.    Heather and JP have thought of everything you will need to enjoy your stay.   We loved the privacy of the location.  It was so hip and stylish, as well as super comfy.   Felt like home.   You are only a 5-7 min walk to the L.  Bus transport is easily accessible.  As well, the neighborhood is very cool.   It is close to many other fun areas of west Chicago.  Not far from downtown either.   We didn’t even find a need to go to the magnificent mile.   There is too much fun to be had hanging out in this area of town.   We did go to Logan’s Square a bit.  It’s very close.   Loads of good bars and food.   
We would definitely stay here again.   They have set a high bar for what to expect for future stays with AirBnB!!  ",Chicago,0
Augusta's Secret Garden | Noble Square|Wicker Park,"We had a great stay at Heather and JP’s. Our schedule was a bit in flux but they were very accommodating to our changing arrival time. 

The space itself is really a hidden gem tucked away behind a lovely garden for privacy and quiet. The loft was so unique and charming and they did a great job to maximize the space. It’s very functional but stylish. Just a note to be careful on the steps approaching the bed/loft area and to watch your head as it’s a bit of a low clearance. 

We had an easy time street parking our car directly outside the unit which was extremely convenient and one less thing to have to worry about. We also appreciated the easy self check-in/out process. 

The location was convenient to exploring some really cool shops, bars, and restaurants nearby. It was a great way to experience some local flavor outside of the more touristy stuff. 

Thanks for a great visit! ",Chicago,0
Augusta's Secret Garden | Noble Square|Wicker Park,"My sister and I absolutely loved staying at Heather and JP's place. This was our first time booking an Airbnb and the bar is set really high for any future bookings anywhere else. The location is great. The loft is beautifully decorated, very cozy and very clean. The complimentary snacks were also a very nice touch. Our friends that were staying at a different Airbnb stopped by for a few minutes and they were upset they didnt book this first. This place is truly charming. If we're ever in Chicago we hope we can stay here again. Thanks Heather & JP for being such great hosts and providing everything one would need for a perfect stay.",Chicago,0
"Bright, Modern Apartment in a Vintage Greystone","This was the cleanest Airbnb we’ve ever stayed in. If you are picky with finding a clean place that actually FEELS clean, this home is for you. You can immediately tell that Rob takes pride in his apartment and everything is so well maintained and stylishly decorated. The bed was a welcomed place for rest after a long day, and we loved how firm the mattress was and how fluffy the pillows were—very comfortable.  The amenities were spot on, the coffeemaker, the gas stove, plenty of dishes and quality cookware to use for making a meal. Not mention, the exceptional decor of the entire apartment! The location was excellent and walkable to numerous local restaurants and bars (a few were literally steps from the apartment door). We loved being on the third floor and always felt super safe. There is some traffic noise that can be heard in the bedroom, but Rob provides earplugs for light sleepers. In truth, we actually enjoyed being lulled to sleep by the sounds of the city and it didn’t bother us at all. The convenience of the grocery store being a 5 minute walk away made buying some pantry and fridge essentials easy.
The couch in the living room was super comfy and perfect for relaxing and watching the Thanksgiving Day parade and some Netflix Christmas movies. This was the perfect Airbnb and we were highly impressed (not always easy). 5 stars to Rob for such an amazingly clean, comfortable, stylish, and well thought out home away from home. We’ll be back soon!",Chicago,0
